id_setor_censitario,sigla_uf,v002,v003,v004
355030803000106,SP1,,,
355030830000383,SP1,,,
355030830000463,SP1,,,
355030811000341,SP1,,,
355030830000338,SP1,,,
355030830000504,SP1,,,
355030855000294,SP1,,,
355030887000091,SP1,,,
355030830000557,SP1,,,
355030843000326,SP1,,,
355030855000311,SP1,,,
355030830000513,SP1,,,
355030830000571,SP1,,,
355030842000108,SP1,,,
355030858000240,SP1,,,
355030813000203,SP1,,,
355030830000563,SP1,,,
355030835000038,SP1,,,
355030855000227,SP1,,,
355030806000001,SP1,,,
355030842000138,SP1,,,
355030877000150,SP1,,,
355030878000012,SP1,,,
355030847000063,SP1,,,
355030881000265,SP1,,,
355030881000274,SP1,,,
355030892000188,SP1,,,
355030852000051,SP1,,,
355030858000234,SP1,,,
355030825000204,SP1,,,
355030830000306,SP1,,,
355030830000500,SP1,,,
355030830000521,SP1,,,
355030844000212,SP1,,,
355030855000304,SP1,,,
355030871000131,SP1,,,
355030878000006,SP1,,,
355030890000030,SP1,,,
355030825000295,SP1,,,
355030830000548,SP1,,,
355030855000298,SP1,,,
355030882000172,SP1,,,
355030817000314,SP1,,,
355030871000080,SP1,,,
355030830000497,SP1,,,
355030882000127,SP1,,,
355030881000289,SP1,,,
355030854000098,SP1,,,
355030830000555,SP1,,,
355030834000039,SP1,,,
355030881000303,SP1,,,
355030830000604,SP1,,,
355030842000259,SP1,,,
355030852000015,SP1,,,
355030855000061,SP1,,,
355030855000274,SP1,,,
355030830000493,SP1,,,
355030830000546,SP1,,,
355030854000102,SP1,,,
355030846000379,SP1,,,
355030877000092,SP1,,,
355030889000112,SP1,,,
355030830000477,SP1,,,
355030830000561,SP1,,,
355030892000081,SP1,,,
355030803000085,SP1,,,
355030830000519,SP1,,,
355030834000156,SP1,,,
355030837000275,SP1,,,
355030855000223,SP1,,,
355030895000110,SP1,,,
355030830000570,SP1,,,
355030830000576,SP1,,,
355030881000210,SP1,,,
355030818000112,SP1,,,
355030830000558,SP1,,,
355030852000001,SP1,,,
355030855000160,SP1,,,
355030861000083,SP1,,,
355030881000263,SP1,,,
355030806000035,SP1,,,
355030881000229,SP1,,,
355030890000231,SP1,,,
355030895000087,SP1,,,
355030803000071,SP1,,,
355030838000333,SP1,,,
355030870000219,SP1,,,
355030894000268,SP1,,,
355030803000044,SP1,,,
355030852000013,SP1,,,
355030858000231,SP1,,,
355030817000267,SP1,,,
355030830000564,SP1,,,
355030842000064,SP1,,,
355030842000230,SP1,,,
355030852000014,SP1,,,
355030881000284,SP1,,,
355030803000098,SP1,,,
355030816000150,SP1,,,
355030816000160,SP1,,,
355030830000445,SP1,,,
355030813000228,SP1,,,
355030830000550,SP1,,,
355030861000109,SP1,,,
355030844000182,SP1,,,
355030830000495,SP1,,,
355030830000586,SP1,,,
355030830000588,SP1,,,
355030843000318,SP1,,,
355030846000365,SP1,,,
355030855000240,SP1,,,
355030818000041,SP1,,,
355030830000527,SP1,,,
355030830000569,SP1,,,
355030830000574,SP1,,,
355030842000169,SP1,,,
355030852000027,SP1,,,
355030852000057,SP1,,,
355030857000088,SP1,,,
355030837000240,SP1,,,
355030855000144,SP1,,,
355030825000303,SP1,,,
